name,href,heat,kouwei,waiguan,xingjiabi,zonghe,type,tar,nicotine,co,length,filter_length,circumference,packaging,main_color,sub_color,per_pack_count,packs_per_carton,pack_price,carton_price,pack_barcode
阿诗玛(软) 香烟正品价格表，真伪鉴别口感评测各地价格多少钱 [香烟信息-烟悦网],https://www.yanyue.cn/product/579,,,,,,烤烟型,13.,12,13.,84,24,24,纸质软包,白,金,20,10,670,6070,6901028048064
阿诗玛(细支) 香烟正品价格表，真伪鉴别口感评测各地价格多少钱 [香烟信息-烟悦网],https://www.yanyue.cn/product/3691,,,,,,烤烟型,7,0.8,6.,97,,,纸质硬盒,米白,蓝色,20,,1870,18070,4897028981376
阿诗玛(硬)授权版 香烟正品价格表，真伪鉴别口感评测各地价格多少钱 [香烟信息-烟悦网],https://www.yanyue.cn/product/580,,,,,,烤烟型,15.,12,15.,84,24,24,纸质硬盒,白,金,20,10,6.570,6570,6901028315272
阿诗玛(世纪经典) 香烟正品价格表，真伪鉴别口感评测各地价格多少钱 [香烟信息-烟悦网],https://www.yanyue.cn/product/2363,,,,,,烤烟型,12.,,12.,84,,,纸质硬盒,金,红,,,1070,10070,4897028980812
阿诗玛(专供出口) 香烟正品价格表，真伪鉴别口感评测各地价格多少钱 [香烟信息-烟悦网],https://www.yanyue.cn/product/1682,,,,,,烤烟型,20.,15,,84,,,纸质软包,白,金,20,,770,7070,6901028314299
